t;x;y;
0,000000E0;−3,141129E−3;3,175865E−1
3,333333E−2;−2,523047E−3;3,179050E−1
6,666667E−2;−2,829448E−3;3,175139E−1
1,000000E−1;−4,298320E−3;3,164462E−1
1,333333E−1;−2,329304E−3;3,162564E−1
1,666667E−1;2,483524E−3;3,143025E−1
2,000000E−1;8,623056E−3;3,131043E−1
2,333333E−1;1,519109E−2;3,117270E−1
2,666667E−1;2,338157E−2;3,098277E−1
3,000000E−1;3,774582E−2;3,079268E−1
3,333333E−1;4,441693E−2;3,026988E−1
3,666667E−1;5,615740E−2;2,997004E−1
4,000000E−1;7,141514E−2;2,952528E−1
4,333333E−1;8,772669E−2;2,923452E−1
4,666667E−1;1,059452E−1;2,879906E−1
5,000000E−1;1,251317E−1;2,837203E−1
5,333333E−1;1,457721E−1;2,775353E−1
5,666667E−1;1,708076E−1;2,713591E−1
6,000000E−1;1,982245E−1;2,627752E−1
6,333333E−1;2,221338E−1;2,517474E−1
6,666667E−1;2,518123E−1;2,380849E−1
7,000000E−1;2,820682E−1;2,192243E−1
7,333333E−1;3,165455E−1;2,019046E−1
7,666667E−1;3,551477E−1;1,836341E−1
8,000000E−1;3,979351E−1;1,705051E−1
8,333333E−1;4,429769E−1;1,558778E−1
8,666667E−1;4,903795E−1;1,465811E−1
9,000000E−1;5,382894E−1;1,423071E−1
9,333333E−1;5,865820E−1;1,455643E−1
9,666667E−1;6,332648E−1;1,519622E−1
1,000000E0;6,771561E−1;1,630113E−1
1,033333E0;7,198192E−1;1,745059E−1
1,066667E0;7,609657E−1;1,821641E−1
1,100000E0;8,007227E−1;1,836330E−1
1,133333E0;8,388061E−1;1,834533E−1
1,166667E0;8,780395E−1;1,821864E−1
1,200000E0;9,181194E−1;1,781720E−1
1,233333E0;9,576533E−1;1,701909E−1
1,266667E0;1,001408E0;1,616763E−1
1,300000E0;1,041820E0;1,460932E−1
1,333333E0;1,087719E0;1,340873E−1
1,366667E0;1,136618E0;1,236658E−1
1,400000E0;1,185062E0;1,152852E−1
1,433333E0;1,236109E0;1,178906E−1
1,466667E0;1,285398E0;1,238245E−1
1,500000E0;1,358208E0;8,309438E−2
